CONTENIDO,dt,window,ID,followers,sentiment,post_acceptance,is_negative,engagement,TOPIC,COMMENTS,LIKES,SHARES,FOLLOWERS
"Lo de la prohibición del Burka sería genial si aplicáramos una detención al marido de por vida, por secuestro.
Pero veréis como no lo hacen.
Entre otras cosas porque no le van a decir cómo tratar a su señora a un jeque millonatis, todos estos palurdos",2026-02-19,2026-02-19,CA2FE21A2CD1E640,3368.0,-1,-1.0,True,6745.0,rechazo,0.0,9,0.0,3368.0
"El Congreso tumba la ley del burka de Vox, inspirada en modelos europeos de prohibición pero sustentada en un discurso de defensa “civilizatoria” frente a la inmigración - www.diario-red.com/articulo/esp...",2026-02-19,2026-02-19,253CC7302E0C7BAE,1290.0,0,-1.0,True,2582.0,prohibición burka espacios públicos,0.0,1,1.0,1290.0
"El Congreso ha rechazado la prohibición del burka y el niqab, con el apoyo únicamente de PP y VOX.",2026-02-19,2026-02-19,E76C5C0B32614E3B,110.0,-1,-1.0,True,220.0,rechazo,0.0,0,0.0,110.0
"🗣️ @sarasimonalcorlo.bsky.social defiende avanzar hacia la prohibición del burka y nicab en espacios públicos para salvaguardar los derechos de las mujeres a las que se trata de ""invisibilizar"" con estos elementos

@publico.es | #CastillaLaMancha

Aquí os lo contamos 👇",2026-02-19,2026-02-19,DEC08CEC4D1B111A,313.0,1,1.0,False,630.0,libertad de expresión,1.0,1,2.0,313.0
"Patxi López denuncia que la prohibición del burka es discurso de odio, mientras Yolanda Díaz defiende la libertad religiosa para permitir su uso en España. La izquierda busca captar el voto musulmán, incluso empoderando símbolos que someten a las mujeres.",2026-02-19,2026-02-19,E76C5C0B32614E3B,110.0,0,-1.0,True,220.0,libertad de expresión,0.0,0,0.0,110.0
"Susanna Griso, sobre la prohibición del burka y el niqab: ""¡Libertad y burka son antónimos!"" ver.20m.es/8rwdu3

➡Nueve países europeos ya han tomado medidas con respecto al uso de estas prendas de tradición islámica",2026-02-19,2026-02-19,A399E3FBE89D4E7D,17240.0,1,-0.3333333333333333,True,34484.0,libertad de expresión,0.0,2,2.0,17240.0
"El Congreso tumba la ley del burka de Vox, inspirada en modelos europeos de prohibición pero sustentada en un discurso de defensa “civilizatoria” frente a la inmigración - www.diario-red.com/articulo/esp...",2026-02-19,2026-02-19,B429D9A0D4437178,104.0,0,-1.0,True,208.0,prohibición burka espacios públicos,0.0,0,0.0,104.0
Madre mía como está X con el tema de la prohibición o no del burka.,2026-02-19,2026-02-19,C8D70007182D6820,276.0,0,-1.0,True,554.0,propuesta,1.0,1,0.0,276.0
"Gabriel Rufián, tras votar la víspera contra la prohibición del burka: ""El burka es una salvajada. Si somos izquierda laica de verdad, no podemos permitir que se invisibilice a las mujeres de esta manera"". 

#rufian #gabrielrufian #burka #mujeres #velo #politica",2026-02-19,2026-02-19,74EA66086DE29E7D,9.0,0,-1.0,True,18.0,opción,0.0,0,0.0,9.0
"Gabriel Rufián, tras votar la víspera contra la prohibición del burka: ""El burka es una salvajada. Si somos izquierda laica de verdad, no podemos permitir que se invisibilice a las mujeres de esta manera"". 

#rufian #gabrielrufian #burka #mujeres #velo #politica",2026-02-19,2026-02-19,F32EB94F7AF0D6F2,30.0,0,-1.0,True,60.0,opción,0.0,0,0.0,30.0
"Gabriel Rufián, tras votar la víspera contra la prohibición del burka: ""El burka es una salvajada. Si somos izquierda laica de verdad, no podemos permitir que se invisibilice a las mujeres de esta manera"". 

#rufian #gabrielrufian #burka #mujeres #velo #politica",2026-02-19,2026-02-19,82A4FDC15634706B,86.0,0,-1.0,True,172.0,opción,0.0,0,0.0,86.0
"Gabriel Rufián, tras votar la víspera contra la prohibición del burka: ""El burka es una salvajada. Si somos izquierda laica de verdad, no podemos permitir que se invisibilice a las mujeres de esta manera"". 

#rufian #gabrielrufian #burka #mujeres #velo #politica",2026-02-19,2026-02-19,62C2A35F09A9F477,92.0,0,-1.0,True,185.0,opción,0.0,1,0.0,92.0
"Rufián aboga por la prohibición del burka porque ""es una salvajada"", pese a votar en contra de vetarlo esta semana ver.20m.es/pjp7c4",2026-02-19,2026-02-19,A399E3FBE89D4E7D,17240.0,1,-1.0,True,34487.0,ofensiva racista,1.0,4,2.0,17240.0
"7.2 En definitiva proponer la prohibición del burka como parte de una implantación de límites a lo intolerable, en un marco de antifascismo, no de racismo, siguiendo la estela de los límites recientemente propuestos a las rrss, etc",2026-02-19,2026-02-19,B217DE4C8ADA6EE3,491.0,0,1.0,False,982.0,antifascismo,0.0,0,0.0,491.0
"El Congreso tumba la ley del burka de Vox, inspirada en modelos europeos de prohibición pero sustentada en un discurso de defensa “civilizatoria” frente a la inmigración - www.diario-red.com/articulo/esp...",2026-02-19,2026-02-19,CD3A52DC4FED83C2,122.0,0,-1.0,True,244.0,prohibición burka espacios públicos,0.0,0,0.0,122.0
"No conozco ninguna ciudad de España con atascos de coches eléctricos
(Esto es como la prohibición del burka de Vox)

Un coche eléctrico no genera los impactos negativos de un coche de combustión

El 10% petróleo de España viene del Delta del Níger. El video lo explica:
youtu.be/iDBXdV6NOSU?...",2026-02-19,2026-02-19,DAEA7C4DBF66C310,872.0,0,1.0,False,1745.0,opción,1.0,0,0.0,872.0
"‼️El Congreso tumba la ley del burka de Vox, inspirada en modelos europeos de prohibición pero sustentada en un discurso de defensa “civilizatoria” frente a la inmigración

✍🏼 Lucía Casado",2026-02-19,2026-02-19,3868519B209A4AC8,15746.0,1,-0.3333333333333333,True,31523.0,prohibición burka espacios públicos,1.0,18,12.0,15746.0
"1. El Congreso tumba la ley del burka de Vox, inspirada en modelos europeos de prohibición pero sustentada en un discurso de defensa “civilizatoria” frente a la inmigración - www.diario-red.com/articulo/esp... ⬇️",2026-02-19,2026-02-19,B41BE16CA4C3EE93,1288.0,0,1.0,False,2578.0,prohibición burka espacios públicos,1.0,1,0.0,1288.0
"El Congreso tumba la ley del burka de Vox, inspirada en modelos europeos de prohibición pero sustentada en un discurso de defensa “civilizatoria” frente a la inmigración - www.diario-red.com/articulo/esp...",2026-02-19,2026-02-19,C9D01A49A67602F4,223.0,0,-1.0,True,446.0,prohibición burka espacios públicos,0.0,0,0.0,223.0
"Tenso debate entre Tesh Sidi y Albiol al defender la prohibición del burka: ""No entiendo como las que vais de feministas ponéis peros"" #TEM ver.tw/npn706",2026-02-18,2026-02-18,0E18C4EC83A81D08,46.0,1,-1.0,True,92.0,antifascismo,0.0,0,0.0,46.0
"Patxi López defiende el burka como una ""expresión de libertad religiosa"" en medio del debate sobre su prohibición en espacios públicos.",2026-02-18,2026-02-18,E76C5C0B32614E3B,110.0,1,1.0,False,220.0,libertad religiosa,0.0,0,0.0,110.0
"Rufián defiende la prohibición del burka porque es ""una salvajada"": ""La izquierda no debe permitir que se invisibilice a las mujeres"" ondace.ro/p4h_43",2026-02-18,2026-02-18,7E7DFD6A462B56DF,3347.0,1,-0.3333333333333333,True,6699.0,antifascismo,0.0,5,0.0,3347.0
"NACIONAL

 RUFIÁN ABOGA PROHIBICIÓN DEL BURKA PORQUE ""ES UNA SALVAJADA""

 El portavoz de ERC en el Congreso, Gabriel Rufián, ha abogado por prohibir el burka en España, porque ""es una salvajada"" y ""la izquierda laica de verdad"" no puede ""permitir que se invisibilice a las m...👇",2026-02-18,2026-02-18,F32EEF18C6631451,1063.0,-1,0.0,True,2126.0,rechazo,0.0,0,0.0,1063.0
"Del tema del Burka y Niqab,

son prendas cuya función diferencial es ocultar el rostro de la mujer,

esto crea problemas de seguridad y mantiene mayor sumisión y anulación de la identidad de la mujer

Por tanto, soy partidario de su prohibición

Nada que objetar a otras prendas femeninas islámicas",2026-02-18,2026-02-18,7DF671D4CEDA2088,356.0,1,0.3333333333333333,False,714.0,prohibición burka espacios públicos,2.0,0,0.0,356.0
"a ver gente. no querer ilegalizar el uso del burka u otras medidas de opresión a las mujeres (porque esa prohibición provocaría más opresión de estas mujeres, no menos) no significa tener que DEFENDER su uso ni no poder criticarlo. no sé. me parece que estáis un poco tontitos últimamente.",2026-02-18,2026-02-18,59F437DC9EFDAE70,282.0,-1,-1.0,True,566.0,rechazo,1.0,1,0.0,282.0
Antonio Maestre se pronuncia sobre la posible prohibición del burka: “Lo que molesta a la derecha es la mujer mora que va debajo”,2026-02-18,2026-02-18,3D05C31BA2A72C21,7871.0,0,-1.0,True,15742.0,opción,0.0,0,0.0,7871.0
"Xavier Vidal-Folch, sobre la prohibición del burka: ""Es un truco de los ultras para azuzar al personal contra los inmigrantes"" en la App de La SER
cadenaser.com/audio/177135...",2026-02-18,2026-02-18,B1626E678C512BFC,414.0,1,-1.0,True,828.0,antifascismo,0.0,0,0.0,414.0
"No,muchas pensarán que deben o que les gusta
Muchas piensan que está bien engendrar un hijo para otros
Muchas piensan que no pasa nada porque les peguen
Creo que hay que pensar en la dignidad de las mujeres. Y la prohibicion del burka a quien de verdad le fastidia es a los hombres,véase Afganistán.",2026-02-18,2026-02-18,C3DE766A16DB7414,923.0,-1,-1.0,True,1849.0,rechazo,1.0,2,0.0,923.0
"Puedo entender que te opongas a Vox por los motivos e intenciones que manejan en lo de la prohibición del burka.
Lo que no puedo entender es que mujeres feministas, mujeres en general y gente que se dice progresista defienda esa imposición retrógrada como identidad cultural.",2026-02-18,2026-02-18,49D503568BC8B6AE,4509.0,-1,-1.0,True,9027.0,rechazo,1.0,7,1.0,4509.0
"Aquellos que defendéis con tanta pasión la prohibición del burka aunque sea por convicción, me vais a tener que explicar muy despacito por qué el burka si y el hábito de monja no, porque no hay ni una puta diferencia.",2026-02-18,2026-02-18,438599D4306ACC24,293.0,0,-1.0,True,587.0,falta de competencias,0.0,1,0.0,293.0
"La solución no pasa por una prohibición porque la raíz del problema no está ahí. No vas a conseguir que las mujeres que llevan burka en España (que tampoco es que sean muchas, todo hay que decirlo) se lo quiten mágicamente. Vas a conseguir que no salgan a la calle.",2026-02-18,2026-02-18,270E343F31B84C2D,979.0,-1,-1.0,True,1989.0,rechazo,1.0,27,3.0,979.0
"La prohibición del burka y del niqab se fundamenta en la obligación de ser reconocible. Pero luego se articula como una “defensa” de la libertad de las mujeres, cuando todos sabemos que el trasfondo es xenófobo. 

Si se plantease puramente desde la obligación de ser reconocible, no habría problemas.",2026-02-18,2026-02-18,0D1A5369A68B035D,138.0,-1,-1.0,True,277.0,xenófobo,0.0,0,1.0,138.0
Hay que hilar muy fino en ciertos temas y lo de la prohibición del burka de vox es uno de esos temas. A vox le da igual el sometimiento de las mujeres. Que creo que nadie duda que la mayoría de los votantes masculinos de vox son los que le dicen a la novia o la mujer que vestida de puta,2026-02-18,2026-02-18,F846333090882CA1,1248.0,-1,-1.0,True,2501.0,sometimiento de las mujeres,1.0,3,1.0,1248.0
"Aprovecho para decir, además de lo del hilo, que si bien el niqab y el burka me parecen una barbaridad, lo único que consigues con una prohibición es que haya mujeres que no salgan de casa.",2026-02-18,2026-02-18,B10A71871D67381E,946.0,-1,-1.0,True,1908.0,restricción de libertades,1.0,13,2.0,946.0
Carlos Herrera opina sin filtros sobre la prohibición del burka en España,2026-02-18,2026-02-18,0CFFEE7D38661577,885.0,0,1.0,False,1770.0,opción,0.0,0,0.0,885.0
"Lo de la prohibición del burka es la estrategia de siempre: proponer una medida para un problema que

1) es minúsculo en España y
2) ya está resuelto en la ley.

El objetivo real no es el burka, sino avivar la xenofobia y preparar a la opinión pública para exigir la prohibición del hiyab.",2026-02-18,2026-02-18,9423CBBF856647B3,1583.0,0,-1.0,True,3231.0,xenofobia,2.0,48,15.0,1583.0
El pleno del Consell de Menorca debate sin consenso la prohibición del burka: la izquierda cuestiona su eficacia www.menorca.info/menorca/loca...,2026-02-18,2026-02-18,80C5DA718EADC4B6,318.0,0,-1.0,True,636.0,debate social,0.0,0,0.0,318.0
"El niqab o el burka no suponen una discriminación de género, ni amenazan la seguridad, pero sí impiden una forma de relación social. La justicia europea admite la prohibición del velo que oculta la cara, pero rechazó los motivos que esgrimen Vox y Junts",2026-02-18,2026-02-18,AB49EC778314099E,163351.0,-1,1.0,True,326715.0,rechazo,2.0,10,1.0,163351.0
El PP busca mujeres con burka para poder acercarse (sin éxito) a Vox. Utiliza la proposición de prohibición para mejorar sus relaciones con Abascal de cara a Extremadura y Aragón y solo consigue que Vox se burle de las distintas posiciones del PP en cada región. www.eldiario.es/politica/pp-...,2026-02-18,2026-02-18,6318413350CA6F88,10974.0,0,-1.0,True,21974.0,estrategia política,2.0,17,7.0,10974.0
"El entusiasmado aplauso de Vox al PP en el debate sobre la prohibición del burka: ""La cultura no borra a la mujer"" ondace.ro/umval2",2026-02-18,2026-02-18,7E7DFD6A462B56DF,3347.0,0,-1.0,True,6694.0,debate social,0.0,0,0.0,3347.0
"El PSOE negocia con Junts la prohibición del burka tras criticar a Vox. El PP vota a favor de la iniciativa, a pesar de que otros partidos como PSOE, Junts y PNV la rechazan.",2026-02-18,2026-02-18,E76C5C0B32614E3B,110.0,0,-1.0,True,220.0,debate social,0.0,0,0.0,110.0
"PP y Vox ven frenada la prohibición del burka tras el portazo de Junts, que prefiere su propia norma en el Congreso dozz.es/gvm_v7",2026-02-18,2026-02-18,31D6D1E65B613FD2,70.0,0,0.0,False,140.0,estrategia política,0.0,0,0.0,70.0
"Vamos a defender la prohibición del burka hasta el final

https://www.europesays.com/es/402745/

La portavoz parlamentaria de Vox, Pepa Millán, ha asegurado en 24 Horas de RNE que su formación «ha…",2026-02-17,2026-02-17,2D5412748CF9CD66,82.0,1,1.0,False,164.0,antifascismo,0.0,0,0.0,82.0
"Millán (Vox): ""Vamos a defender la prohibición del burka hasta el final""",2026-02-17,2026-02-17,FC96FF2F792F3FCC,2290.0,1,1.0,False,4582.0,prohibición burka,2.0,0,0.0,2290.0
"—El PP: ""La prohibición del burka no es contra una religión sino contra la invisibilidad forzada y no prohibirlo en espacios públicos sería retroceder en libertad""

—Also el PP:",2026-02-17,2026-02-17,B3025337587BA4A0,2216.0,0,1.0,False,4464.0,libertad de expresión,2.0,22,8.0,2216.0
"🗣️ ""Vamos a defender la prohibición del burka y del niqab hasta el final""

▪️ Hablamos con Pepa Millán, portavoz de Vox en el Congreso de los Diputados

📻 Entrevista completa aquí ▶️ rtve.es/a/16942629/",2026-02-17,2026-02-17,FC96FF2F792F3FCC,2290.0,1,1.0,False,4581.0,prohibición burka,1.0,0,0.0,2290.0
"El PSOE se abre a negociar con Junts la prohibición del burka tras tumbar por ""racista"" la iniciativa similar de Vox dozz.es/ahg4f3",2026-02-17,2026-02-17,8796AFF2A14A1EA1,3431.0,0,1.0,False,6863.0,estrategia política,1.0,0,0.0,3431.0
"Mientras la derecha se dedica a la prohibición del burka, el Gobierno sube el S.M.I e insta a los empresarios a que suban el sueldo de los trabajadores ya que han subido sus beneficios",2026-02-17,2026-02-17,6CF073F5982975F4,1986.0,1,0.0,False,3979.0,sometimiento de las mujeres,0.0,6,1.0,1986.0
"Burka y niqab | El Congreso rechaza la prohibición del velo integral en espacios públicos, pero el debate continuará en la cámara

orain.eus/es/politica/...",2026-02-17,2026-02-17,AD19BB499812EACA,490.0,0,-1.0,True,980.0,debate social,0.0,0,0.0,490.0
"Sobre la prohibición del burka y niqab en espacios públicos.
Una vez vi una mujer con burka, y respeto a quien lo hace por motivos religiosos.
Su prohibición supondría aislamiento total de quien lo usa y así lo sentenció el TS en 2013 
Las ultraderechas debaten un problema que no existe y eso cala.",2026-02-17,2026-02-17,438599D4306ACC24,293.0,0,-1.0,True,587.0,prohibición burka espacios públicos,1.0,0,0.0,293.0
"El PP defiende la prohibición del burka y el niqab en espacios públicos: ""Son mujeres en cárceles de tela""
➡️ Ester Muñoz, portavoz parlamentaria, descarta un cambio en los planteamientos de su formación: ""Esto no es negociable"".",2026-02-17,2026-02-17,2DF7CFCE521D1CB5,2127.0,1,-0.3333333333333333,True,4254.0,prohibición burka,0.0,0,0.0,2127.0
"@lahoratve.rtve.es #Mañaneros360 #MalasLenguas #LaNoche24h #elintermedio
Al POX (Viruela) PP y Vox les ha salido el tiro por la culata al no conseguir aprobar la prohibición del Nihad y el Burka en el Congreso de los Diputados.
#StopFascismo #StopRacistas #StopXenofobia #StopODIO",2026-02-17,2026-02-17,52819F11D8D040AE,355.0,1,-1.0,True,711.0,StopFascismo,1.0,0,0.0,355.0
"PP y Vox ven frenada la prohibición del burka tras el portazo de Junts, que prefiere su propia norma en el Congreso dozz.es/gvm_v6",2026-02-17,2026-02-17,31D6D1E65B613FD2,70.0,0,-1.0,True,140.0,estrategia política,0.0,0,0.0,70.0
Vox propone la prohibición del niqab o el burka en espacios municipales de Huesca heral.do/mbcoz3,2026-02-17,2026-02-17,E30A7013ED5F61D1,1125.0,0,1.0,False,2250.0,prohibición burka,0.0,0,0.0,1125.0
La prohibición del burka y el niqab en los espacios públicos decaerá por el rechazo de Junts,2026-02-17,2026-02-17,0CFFEE7D38661577,885.0,-1,-1.0,True,1770.0,rechazo,0.0,0,0.0,885.0
"🚨🏛️La portavoz del #PP defiende la prohibición del burka y niqab propuesta por #Vox y la bancada de la ultraderecha se pone de pie y la aplaude, por primera vez en la legislatura.

La proposición caerá por el rechazo de la izquierda, PNV y Junts.",2026-02-17,2026-02-17,B329A641D846ED73,689.0,0,0.0,False,1378.0,debate social,0.0,0,0.0,689.0
Patxi López considera que proponer la prohibición del burka es un discurso de odio.,2026-02-17,2026-02-17,E76C5C0B32614E3B,110.0,1,-1.0,True,220.0,antifascismo,0.0,0,0.0,110.0
PP y Vox desoyen la doctrina del Tribunal Supremo con su prohibición del burka y el niqab,2026-02-17,2026-02-17,5B3CCB21A9B03A7C,10993.0,0,-1.0,True,21990.0,prohibición burka espacios públicos,0.0,3,1.0,10993.0
El PSOE elogia que Junts no apoye la prohibición del burka presentada por Vox y se compromete a estudiar la suya heral.do/gc8_01,2026-02-17,2026-02-17,E30A7013ED5F61D1,1125.0,0,1.0,False,2250.0,debate social,0.0,0,0.0,1125.0
"""Qué sentido tiene que el Estado, que las quiera proteger, las multe"", Marta García Aller sobre la prohibición del burka ondace.ro/nba6_2",2026-02-17,2026-02-17,7E7DFD6A462B56DF,3347.0,0,-1.0,True,6696.0,falta de competencias,0.0,1,1.0,3347.0
"No os molesta el burka, os molestan las mujeres moras que hay debajo.

""La prohibición del burka y el niqab sin ningún tipo de actuación complementaria es violencia contra esas mujeres porque lo único que persigue es apartarlas de la vista de los racistas""

www.lasexta.com/el-muro/anto...",2026-02-17,2026-02-17,8A4CB097BE95F146,879.0,-1,-0.3333333333333333,True,1760.0,rechazo,0.0,2,0.0,879.0
"📺TV EN DIRECTO | Díaz, sobre la propuesta de prohibición del burka: ""La propuesta de las derechas españolas hoy vulnera la Constitución Española en su artículo 14 y 16"" social.elpais.com/jz90o1",2026-02-17,2026-02-17,AB49EC778314099E,163351.0,1,-0.3333333333333333,True,326721.0,restricción de libertades,1.0,15,3.0,163351.0
"📺TV EN DIRECTO | Yolanda Díaz: ""Mientras las derechas se ocupan en la prohibición del burka, las izquierdas se dedican a aprobar medidas para mejorar la vida de la gente"", como la subida del SMI. ""No ha pasado nada, no hemos destruido nada"", ironiza social.elpais.com/jz90o1",2026-02-17,2026-02-17,AB49EC778314099E,163351.0,0,-0.3333333333333333,True,326719.0,debate social,0.0,14,3.0,163351.0
"⭕ DIRECTO | El dardo de Yolanda Díaz a Vox: ""Mientras las derechas se dedican a la prohibición del burka, el Gobierno se dedica a aprobar medidas para mejorar la vida de la gente y democratizar la economía""",2026-02-17,2026-02-17,819682DA6693CF91,48395.0,1,0.3333333333333333,False,96819.0,prohibición burka espacios públicos,1.0,21,7.0,48395.0
"No sé como cuadra lo de la prohibición del burka o el niqab con el derecho fundamental recogido en el artículo 16 de nuestra constitución que garantiza la libertad ideológica, religiosa y de culto, tanto a nivel individual como colectivo. 
A mí ambos atuendos me parecen cárceles. Pero prohibir👇",2026-02-17,2026-02-17,F6351AFDA30D2E27,3970.0,0,-1.0,True,7986.0,libertad de expresión,12.0,28,6.0,3970.0
"PP y Vox desoyen la doctrina del Tribunal Supremo con su prohibición del burka y el niqab
www.elplural.com/politica/esp...",2026-02-17,2026-02-17,A301EC375A8257D0,1165.0,0,-1.0,True,2333.0,prohibición burka espacios públicos,0.0,1,2.0,1165.0
"Junts rechaza apoyar la prohibición del burka que propone Vox y presentará una propia.

theobjective.com/espana/polit...",2026-02-17,2026-02-17,030C63A78B9367E9,467.0,-1,-1.0,True,934.0,rechazo,0.0,0,0.0,467.0
"Este ejemplo, o el de cómo la prohibición del burka puede ser contraproducente, reflejan muy bien cómo de complejo puede ser un tema. Y que, casi siempre, hay que elegir un ""mal menor"".
Pero aceptamos peor la complejidad cada día, creo.
Están de moda los enfoques sencillos (=ultraderecha).",2026-02-17,2026-02-17,A0B991B24D8B7CA9,234.0,0,-1.0,True,470.0,complejidad,0.0,2,0.0,234.0
